low_end,low_end_raw,low_end_sign,low_end_biased_exp,low_end_mantissa,low_end_24bit,low_end_24bit_hex,low_end_plus_1,low_end_plus_1_raw,low_end_plus_1_sign,low_end_plus_1_biased_exp,low_end_plus_1_mantissa,low_end_plus_1_24bit,low_end_plus_1_24bit_hex,high_end_minus_1,high_end_minus_1_raw,high_end_minus_1_sign,high_end_minus_1_biased_exp,high_end_minus_1_mantissa,high_end_minus_1_24bit,high_end_minus_1_24bit_hex,high_end,high_end_raw,high_end_sign,high_end_biased_exp,high_end_mantissa,high_end_24bit,high_end_24bit_hex
1.355252716e-20,0x1e800000,0,61,0,0,0x000000,1.355252877e-20,0x1e800001,0,61,1,0,0x000000,2.710505108e-20,0x1efffffe,0,61,8388606,0,0x000000,2.710505270e-20,0x1effffff,0,61,8388607,0,0x000000
2.710505431e-20,0x1f000000,0,62,0,0,0x000000,2.710505754e-20,0x1f000001,0,62,1,0,0x000000,5.421010216e-20,0x1f7ffffe,0,62,8388606,0,0x000000,5.421010539e-20,0x1f7fffff,0,62,8388607,0,0x000000
5.421010862e-20,0x1f800000,0,63,0,0,0x000000,5.421011509e-20,0x1f800001,0,63,1,0,0x000000,1.084202043e-19,0x1ffffffe,0,63,8388606,0,0x000000,1.084202108e-19,0x1fffffff,0,63,8388607,0,0x000000
1.084202172e-19,0x20000000,0,64,0,0,0x000000,1.084202302e-19,0x20000001,0,64,1,0,0x000000,2.168404086e-19,0x207ffffe,0,64,8388606,0,0x000000,2.168404216e-19,0x207fffff,0,64,8388607,0,0x000000
2.168404345e-19,0x20800000,0,65,0,0,0x000000,2.168404603e-19,0x20800001,0,65,1,0,0x000000,4.336808173e-19,0x20fffffe,0,65,8388606,0,0x000000,4.336808431e-19,0x20ffffff,0,65,8388607,0,0x000000
4.336808690e-19,0x21000000,0,66,0,0,0x000000,4.336809207e-19,0x21000001,0,66,1,0,0x000000,8.673616346e-19,0x217ffffe,0,66,8388606,0,0x000000,8.673616863e-19,0x217fffff,0,66,8388607,0,0x000000
8.673617380e-19,0x21800000,0,67,0,0,0x000000,8.673618414e-19,0x21800001,0,67,1,0,0x000000,1.734723269e-18,0x21fffffe,0,67,8388606,0,0x000000,1.734723373e-18,0x21ffffff,0,67,8388607,0,0x000000
1.734723476e-18,0x22000000,0,68,0,0,0x000000,1.734723683e-18,0x22000001,0,68,1,0,0x000000,3.469446538e-18,0x227ffffe,0,68,8388606,0,0x000000,3.469446745e-18,0x227fffff,0,68,8388607,0,0x000000
3.469446952e-18,0x22800000,0,69,0,0,0x000000,3.469447366e-18,0x22800001,0,69,1,0,0x000000,6.938893077e-18,0x22fffffe,0,69,8388606,0,0x000000,6.938893490e-18,0x22ffffff,0,69,8388607,0,0x000000
6.938893904e-18,0x23000000,0,70,0,0,0x000000,6.938894731e-18,0x23000001,0,70,1,0,0x000000,1.387778615e-17,0x237ffffe,0,70,8388606,0,0x000000,1.387778698e-17,0x237fffff,0,70,8388607,0,0x000000
